Timestamp,Year,Major(s),Living Situation,Involvements,A Day in your Life  [12am-1am],A Day in your Life  [1am-2am],A Day in your Life  [2am-3am],A Day in your Life  [3am-4am],A Day in your Life  [4am-5am],A Day in your Life  [5am-6am],A Day in your Life  [6am-7am],A Day in your Life  [7am-8am],A Day in your Life  [8am-9am],A Day in your Life  [9am-10am],A Day in your Life  [10am-11am],A Day in your Life  [11am-12pm],A Day in your Life  [12pm-1pm],A Day in your Life  [1pm-2pm],A Day in your Life  [2pm-3pm],A Day in your Life  [3pm-4pm],A Day in your Life  [4pm-5pm],A Day in your Life  [5pm-6pm],A Day in your Life  [6pm-7pm],A Day in your Life  [7pm-8pm],A Day in your Life  [8pm-9pm],A Day in your Life  [9pm-10pm],A Day in your Life  [10pm-11pm],A Day in your Life  [11pm-12am],Other
2/26/2026 15:11:36,Junior,"CS, DS",On-Campus Housing,"Varsity Athlete, Greek Life",Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Studying/Homework,Class,Class,Class,Class,Class,Class,Meals,Meals,Social Time,Social Time,Social Time,Social Time,Social Time,
2/26/2026 15:11:50,Senior,CE,Greek Housing,"Club Sports, Greek Life",Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Work,Meals,Work,Work,Work,Social Time,Social Time,Meals,Work,Leisure/Entertainment,Exercise/Sports/Practice,Exercise/Sports/Practice,Social Time,Social Time,Exercise / Practice category includes Club Sport.
2/26/2026 15:17:58,Junior,ME,Greek Housing,"Club Sports, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Work,Work,Work,Work,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Class,Studying/Homework,Meals,Clubs/Organizations,Clubs/Organizations,Social Time,Social Time,Studying/Homework,Studying/Homework,
2/26/2026 15:18:12,Junior,AR,Off-Campus Housing,Greek Life,Studying/Homework,Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Personal Care,Personal Care,Exercise/Sports/Practice,Sleeping,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Studying/Homework,Studying/Homework,
2/26/2026 15:20:09,Sophomore,ECE,Off-Campus Housing,"Varsity Athlete, Academic Clubs, Greek Life",Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Class,Class,Meals,Meals,Class,Studying/Homework,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Social Time,Chores/Housework,Studying/Homework,Studying/Homework,Leisure/Entertainment,Leisure/Entertainment,
2/26/2026 15:29:39,Senior,BME,Commuter,"Performing Arts, Academic Clubs, Research",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Personal Care,Traveling/Commuting,Studying/Homework,Studying/Homework,Work,Work,Work,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Personal Care,Personal Care,
2/26/2026 15:44:17,Senior,CS,Greek Housing,Greek Life,Personal Care,Personal Care,Personal Care,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Class,Class,Meals,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,
2/26/2026 16:35:00,Senior,ECE,Off-Campus Housing,Academic Clubs,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Meals,Studying/Homework,Studying/Homework,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,
2/26/2026 16:35:33,Senior,"CS, DS",Greek Housing,Greek Life,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Class,Class,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Personal Care,Personal Care,Meals,
2/26/2026 16:58:48,Junior,ME conc. Biomaterials,Off-Campus Housing,"Varsity Athlete, Greek Life, SAP",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Exercise/Sports/Practice,Exercise/Sports/Practice,Sleeping,Meals,Class,Class,Meals,Work,Studying/Homework,Studying/Homework,Class,Work,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Personal Care,Personal Care,Studying/Homework,Studying/Homework,
2/26/2026 17:01:17,Senior,Biochemistry ,Off-Campus Housing,"Academic Clubs, Research, Greek Life",Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Studying/Homework,Studying/Homework,Chores/Housework,Chores/Housework,Exercise/Sports/Practice,Clubs/Organizations,Work,Work,Work,Work,Social Time,Social Time,Social Time,Social Time,
2/26/2026 17:27:31,Graduate Student,DS,Off-Campus Housing,Greek Life,Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Personal Care,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Studying/Homework,Social Time,Social Time,Social Time,Leisure/Entertainment,
2/26/2026 17:37:35,Senior,"ME, RBE",On-Campus Housing,"Academic Clubs, Greek Life",Social Time,Social Time,Social Time,Social Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Class,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Class,Studying/Homework,Meals,Social Time,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Social Time,
2/26/2026 18:11:13,Freshman,ME,On-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Meals,Class,Meals,Meals,Personal Care,Personal Care,Personal Care,Meals,Personal Care,Personal Care,Personal Care,Personal Care,
2/26/2026 18:11:50,Sophomore,CE,Greek Housing,"Varsity Athlete, Academic Clubs, Greek Life",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Class,Meals,Class,Class,Class,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,Personal Care,
